,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x85841648B0aAE943bb11E8825BC55076c842e2ff,0x0A66a7acc5D8eB5E5876cc8eA777536f73bEbb53,0.04745674133300781,0.0,0.06509280204772949,0.0,0.4849510192871094,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0xf87EEa3f28B48E978e53656adf6056b6fCDEe790,0x4fabf489203ed351872bDFE978e5954d6D120Baf,0.04908633232116699,0.0,0.06531023979187012,0.0,0.48575806617736816,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x5606b1a24210DF03C846198CEf2aAb97702f91D4,0xc7fff0D83186De55ceE3c842BfB87B053e222fAd,0.046677589416503906,0.0,0.06444859504699707,0.0,0.5399553775787354,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0xc8F283Cf3aeF5E8b14CF67064Dc0Ad08fb9e4CC2,0x630EA6340E257eBc345D1a23Ef94ba2604374092,0.08936953544616699,0.0,0.0665426254272461,0.0,0.5358011722564697,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0xb12945a65b9aFaB2e054619f44a22eCe6A5887D5,0x761b50d58A7fB6e37C26AaEB2317C5987bB82f49,0.045719146728515625,0.0,0.0660240650177002,0.0,1.455214262008667,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0xecb4106A64b8954bEcc49C6eB052bED1C412572a,0x92F811688b5d8246D7c30Ec66e4b0018Fe1584EE,0.046579599380493164,0.0,0.06414103507995605,0.0,0.7304506301879883,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xb967D8bD394D151c6d16BBF2407a47dF0438BC77,0xE5632A0D9009C0b18FD41C999e4a5F71e47f50eB,0.05213427543640137,0.0,0.06528329849243164,0.0,0.5495719909667969,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0xaC227ABD5292D641c4feB50e991D7C8bA5d73Efb,0x21fB256EE50900a5aae409721C0b6eF4A6cE7c38,0.07355594635009766,0.0,0.06558966636657715,0.0,0.5434906482696533,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x2c9B50F8aA4634352FE1faCC81C12f28D4e23d2e,0xdc12d50fc22079Db3557756c73e4777Bb545bcb9,0.047223806381225586,0.0,0.06640815734863281,0.0,0.5339696407318115,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0xBD875DA487a05d018C0F45A84144A1C364988687,0x032d803f247082439B37Eb1330723DD056d78ca6,0.04676938056945801,0.0,0.06468915939331055,0.0,1.2614905834197998,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
