,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x1f70622Bd970DAc010B41043DA1B3Dd8f940a9dc,0x04b3e110ee2d2383326300ee2182731e070B7CF1,0.04648017883300781,0.0,0.06506657600402832,0.0,0.5332334041595459,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0xC017d94620557f81267dD4474279bd2D64c6B16D,0x27616D848095653C15F93bdf1Af07bFD430790cE,0.046773672103881836,0.0,0.09618711471557617,0.0,0.6085894107818604,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x459FF9B6597e09025DF0C009837FB9a405d6096A,0xB7a3bbDb49561bffcAE51Ec3A967478BD628d760,0.050507545471191406,0.0,0.06669306755065918,0.0,0.5684983730316162,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x550ED83c676f3E3b91d0738516B1e9dEe9cFd914,0xaaF5d44162517a6cc64564A7e294baAF8d4baB50,0.04725980758666992,0.0,0.0661611557006836,0.0,0.49727463722229004,44716.0,0.0,53046.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0xCfF3229e160f8E67592109B5daA681237f80cF97,0xD020Cb75D38428F96ad158bBd7955bca2176E89f,0.04669690132141113,0.0,0.06727385520935059,0.0,0.5060875415802002,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0xaa7b481c4eceEDD5CB2EefD599a8ca077F5e9609,0x5a7809DBb0826A4EF52721aA3720b220B327DcAa,0.05140972137451172,0.0,0.06607341766357422,0.0,0.5770342350006104,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xA809aB7ff3f8a72CF4EB1b66f76f39382f53E090,0x6ed0974A487374032bB0fe725111d97b805C1126,0.04631686210632324,0.0,0.06937432289123535,0.0,0.4726123809814453,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x614F094296cb4F21A4360946E9f01cF09AB6f907,0xE7E3224609C4B2Baa794b6666590bBad4bC333D2,0.045755863189697266,0.0,0.06311416625976562,0.0,0.4876687526702881,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x2b933B4945164864908d20b702B0a2DE41fA763F,0x93Ad2F1E40d35E195b63b17336A943cB1c180c21,0.04649686813354492,0.0,0.06299304962158203,0.0,0.7467610836029053,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x3f127EA3E573fAAaC017187E7265Ec3284dD7a1B,0xF44126113bc1283fEa5D0167750979f26153403E,0.04568910598754883,0.0,0.0653529167175293,0.0,0.509535551071167,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
