,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x4F31cDd67eDD7B4541D96A5C098Ec8A18b7e894b,0xfa4b7E32D399A3D7B9d5Fd4AB82b54476a04c4e9,0.045578956604003906,0.0,0.06316184997558594,0.0,0.67132568359375,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x5CF8c5BF15AB57a3b5d00a9DBE765352746fDd38,0xebf14A836995f96c0049f43Be4A320de7e9DA4da,0.04520869255065918,0.0,0.06211137771606445,0.0,0.9667739868164062,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0xc2BD1cE33e33f02953aD8f9e15e1fdead0656e43,0x9bf14C06D8a7fe4b17e16Cbf44Ea285075Efad01,0.044606685638427734,0.0,0.06145501136779785,0.0,0.5226352214813232,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x0120c4423768d4e41171785C1341c5C2eabd3fE3,0xA8945e1d260f538D2aBA8e10688711d63545A85C,0.045342206954956055,0.0,0.06323552131652832,0.0,0.473888635635376,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0xB19E0f93e39057C45228cca0Fbd15b36133BF484,0x81C80A4564146Eb2f087C00Aa8D0F8a1B02142b1,0.04448890686035156,0.0,0.06270051002502441,0.0,0.5724811553955078,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0xc00551F61736260d53a64313446E951b2e5092dC,0x391aE296ecfA902aC06F9e7691cfD53775E9CD29,0.04503059387207031,0.0,0.09515953063964844,0.0,0.9184837341308594,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xbBc5D9F647e567E9Fb60e16e2E018E7cf903Dc3d,0x9E28dc1cD8cA64ec9b712256D06254C22cE5Dd57,0.046543121337890625,0.0,0.06418061256408691,0.0,0.5465834140777588,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x453645a1aC190fb343C36e8Df50E8Baf78C86B15,0xF50AF1B37837C3693fB0d4fE03BD3E7c578F80A5,0.04464149475097656,0.0,0.06879281997680664,0.0,0.4643712043762207,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0xB980f8Ff3495c4ACBc2F6cd82472A7601fb09F7c,0x1E7711565dfF7705213A788cDF459C5B64C71e01,0.044681549072265625,0.0,0.06560444831848145,0.0,0.47568202018737793,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x975972ec3D2326039fc2e37A99C5814E9BC5c3a0,0x77B3fCE597f8c28dCA27EeA53A40dfF5DdeE9e7b,0.04483437538146973,0.0,0.06367015838623047,0.0,0.4620785713195801,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
10,patient,0x08aE644b179496eD99135f07754A5ABf2EF548c0,0xd534E335fE3326F85FD3aF8763284630CFc7bA8F,0.0448606014251709,0.0,0.06358742713928223,0.0,0.5106346607208252,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
11,patient,0xa5BbA8B90fFCfCaeda0950558f7e1dba2771B9cA,0x7C09033bC8Ae89dE7E32FA06A18aFF79a719D1Cc,0.045564889907836914,0.0,0.06190609931945801,0.0,0.5287008285522461,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
12,patient,0x49639c6B9afF57eB528Fc188DE80C09150C6d1bb,0xC5951c8EB4Cea2038Dfc8FBB102760B4471c45A1,0.04448986053466797,0.0,0.06377601623535156,0.0,0.482205867767334,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
13,patient,0x5CbF7A508b029626ca4CD6f55c6E2d595D4b11Ed,0x89e7218fFB89356Ff43eB11E5e95684Ab7A84ce0,0.04514479637145996,0.0,0.07621979713439941,0.0,0.47220540046691895,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
14,patient,0x143F15214A615502D856DbA9b33793eb26A5533b,0x7E30d6b5863689a1Ea4E1885Ef3684447D4F2E26,0.04558730125427246,0.0,0.0632631778717041,0.0,0.4814729690551758,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
15,patient,0xFe5537c9540EFd5A1853370482AD12B62F745a73,0xB8815B80DCc77dF235DaD07C73C40235dFd03de9,0.06273555755615234,0.0,0.06466412544250488,0.0,0.46321773529052734,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
16,patient,0x71823Ca334AC450bA5d49fB4d7c4Abf1Fd7070d6,0xFEB57bFee063b8dD197BEA8C8A33CFBE79F44168,0.04414176940917969,0.0,0.06174516677856445,0.0,0.5344347953796387,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
