,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xb9569F2776147b3F88d1cda221892aa601E5168B,0xeD4628dD9aE6a405E5Fb29D0af7674b52D0C37d4,0.04576373100280762,0.0,0.0632472038269043,0.0,0.5439836978912354,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x1DA51ED9F517C89F170BdA3bB0c26C0a2c4AD322,0xEB7240FceE491910650EbcdBC33b1FA84ae2eA57,0.046797752380371094,0.0,0.09001421928405762,0.0,0.5036590099334717,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0xa31a98107A823d5831fBcf042Da8C8eD02197D46,0xa03f5e75683772081534fBD3E40468D351a14F82,0.04763603210449219,0.0,0.06650090217590332,0.0,0.4980316162109375,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x092DD1c958754DaAF0D1f5C53190785AE44902Fe,0x836f2c46015B02180Fdb86a46a81984E60e9Da92,0.046175479888916016,0.0,0.06387543678283691,0.0,0.851478099822998,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0x8aA3d1209B91fC7CDc59aDA9f04651CDE5573310,0x5Cd44438D8B938Edba95a8347A55Db552Db4E023,0.04568195343017578,0.0,0.06300950050354004,0.0,1.0913524627685547,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0x12EaF0428e55D41A404c6aEf19b5EEFE2F1F77b8,0x034A00c1E6c61D8B477F4b358b9FB1e4f73f4a3A,0.04488205909729004,0.0,0.06250429153442383,0.0,0.7450916767120361,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x53f310dF84591e598faE536Fd351c944Da942743,0x7028F9b394A16A968EB42B8199a37ddF1Bda37A6,0.044713735580444336,0.0,0.06349587440490723,0.0,0.4964468479156494,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0xfE2d03Cf122bc2482845Ce29881Ccb913F8A0ae7,0xCfb239700729366bE8614126dAa0f4e0a4104A28,0.04542255401611328,0.0,0.06453871726989746,0.0,0.694190502166748,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0xfA1BE8D161C5f567e6A35059b61B21B998745f30,0x7DE6d1F8327cf2432B8791c52aA81E0523d2b6FF,0.05414319038391113,0.0,0.06433916091918945,0.0,0.5190982818603516,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x9b4a1bC96bFbb6367215d9C24BACf37b9B868C79,0x8E32Cb0203A8c3dbc7b2403723030DE5Aee37d87,0.04572105407714844,0.0,0.06450963020324707,0.0,0.5359997749328613,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
10,patient,0xF26f8b97715fdF892Cb45E74E3Bfe6cf9E1F4a62,0x035750D0BB8434b855be901D6f43BC8c23A44647,0.04605364799499512,0.0,0.0625152587890625,0.0,0.8067512512207031,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
11,patient,0x8306a98178CcC5C980096D65e3202635dA700B28,0x885aC5B5d0Ec0DC14caf07592ecA13dE2e18407A,0.04503965377807617,0.0,0.09169960021972656,0.0,0.8506021499633789,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
12,patient,0x8d907143B2E0A482Cb30703BA675d8Deba0D61e0,0x89aD6D750c47cc87B1Ff7A52ed139f1002F111Da,0.05141878128051758,0.0,0.06386542320251465,0.0,1.162001609802246,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
13,patient,0xbE78af82fAAbee194e99A68D92A0E697b7F7671E,0x085994e6d6154834BA6A9296d07d9c4B304b0Fe1,0.046639442443847656,0.0,0.0662989616394043,0.0,0.7771353721618652,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
14,patient,0x30F426e97d0d60488917CC5EF660B7277dF26142,0x1828167A76686281A0C358Ccc9C174030430aa22,0.044239044189453125,0.0,0.06474971771240234,0.0,0.5125176906585693,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
15,patient,0x77e5Fd626E0F4f4deC85dAf01FBe2395C9435B72,0x35b9CA546c9ddE9d16D9905b37168B7456535F30,0.04590010643005371,0.0,0.06835603713989258,0.0,0.5920243263244629,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
16,patient,0x3F03669B3EbAF69e29A86B049C9dfFf79dC4fAE0,0x44c53B5CC3dAc5Bd53Ceb1C7F12d5Ec0c1667b75,0.044133901596069336,0.0,0.0632627010345459,0.0,0.548201322555542,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
17,patient,0xa36b782A36F931B83aD9ED613D0eeAb84035a906,0x4cF4451c52E58AB481A38C40B4b40F1a3Be6F9b5,0.04522132873535156,0.0,0.08111286163330078,0.0,0.5395247936248779,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
18,patient,0x27a5efcD3511b0147128A14C5D313632F6ceF8cb,0x1Da96A4Cf937060Cdb42bC53eD38AFdD7411FA17,0.04433870315551758,0.0,0.06281185150146484,0.0,0.49257922172546387,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
19,patient,0xD9230F944B70b90A04b9e1692517F9cd8d3A0d92,0xce475FC5F68C2C2EB8094136deCDf03dAe60B141,0.04598593711853027,0.0,0.06232500076293945,0.0,0.5076231956481934,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
20,patient,0x16aA0d60080786bc41f4CfB7EF80b66c97275ff9,0xcaCB3C2767c5065BeA63abFEF7205fA10900Ef69,0.044680118560791016,0.0,0.06263971328735352,0.0,0.5758402347564697,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
21,patient,0xC3473497b0a8C8E5c67d27ACA9D352876D4f5cd7,0x6Cc0B9b485A3f27431711e18dc34F6ed1B7C6408,0.04513096809387207,0.0,0.06397533416748047,0.0,0.8001742362976074,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
22,patient,0xe1164f3071cf0f600c9cfd44714292E552912A84,0xcaf16A73Fe01fdFCF3ab5FD1b758f269F866791f,0.045545339584350586,0.0,0.06325912475585938,0.0,0.6101365089416504,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
23,patient,0x200B7614977B42b80e15efbb58E859155eE1aED4,0x4e681A330b5dDb5d41792cD3456012E5991EBE1A,0.04654121398925781,0.0,0.06369447708129883,0.0,0.4926791191101074,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
24,patient,0x03da1480135B6105693ed0EF8365aeDe834EC506,0x5e82C9Cb7642828eeBfd3a788a37A2aeCA424008,0.044132232666015625,0.0,0.06579351425170898,0.0,0.9736795425415039,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
25,patient,0xa82284D41C2C103B79b2Aa52229D9797377282a4,0x258D7bB54B57CC5a6FF5AD1bE7a55744d5fA0C98,0.04481935501098633,0.0,0.06268978118896484,0.0,0.5913116931915283,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
26,patient,0xeE83e9CF970065d7FFf20Bf41DAafcd683B42aB6,0xC4Ec6916708C4E9035132845667AD92BDD1E48E4,0.04733610153198242,0.0,0.06287360191345215,0.0,0.5285723209381104,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
27,patient,0x9fE83cCB8450F43ECEEFED3D3617fb6dcAAbd337,0x68d7813463cb68a260621DA3190A7d908b70bcb1,0.04529714584350586,0.0,0.06406283378601074,0.0,0.4787611961364746,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
28,patient,0x3B8fB21f5D802299Af634908D962687EBD888fb3,0x071A582b4303aA1639DC5E42a3bA145a648F67F6,0.044153451919555664,0.0,0.06416177749633789,0.0,0.48415398597717285,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
29,patient,0x4Bb1624766c89fD02ffd334C8C70d499f8b0162f,0x08D30ff9A8f87E3A286d5de0329aB0464a474327,0.04507637023925781,0.0,0.0634605884552002,0.0,0.5747723579406738,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
30,patient,0xa2d05a9D06FE98d2e9eA441bddC15754966Df491,0x955Cb7242E00EF9f6312e178D97f7274B5B0886B,0.04644274711608887,0.0,0.06368279457092285,0.0,0.6801354885101318,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
31,patient,0xC1816B27A92A666d1cCB1050C7CCf3901Ca1FB72,0x96D426838000A42e6A0C1A9965642c832f0a45e3,0.045371055603027344,0.0,0.06411242485046387,0.0,0.90816330909729,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
32,patient,0x4cc13186bA2E14ECeAD772f4d9EfBe24a0734551,0x3648C8a9d735Ab4c2964e1A36Be21fDD8B9f7B7B,0.04583334922790527,0.0,0.06403803825378418,0.0,0.6598284244537354,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
33,patient,0xcaD271F77107fF6fe2105B0B2e06CC61F7967b25,0x618301AAD53E35A8523EB72c4332B77BDA617f37,0.04594731330871582,0.0,0.06597042083740234,0.0,1.3159801959991455,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
34,patient,0xAf8FeCb31B24FbD8E63B56ca359D3238862eAa41,0x0958859cC8bBC3ceD6d0D6CE69a46EB87FdFf182,0.044592857360839844,0.0,0.06528520584106445,0.0,0.7214808464050293,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
