,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x8a66732d4cA7fcB3DfC1D591b980055D672c3B18,0xB0d08bd392fA6eb85e21349997E361F3e82Cd0Ed,0.04579472541809082,0.0,0.06398630142211914,0.0,0.4851553440093994,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0xE9938Db7c8fe1e5a4C5323355C65e6Dc420CD112,0xEa550C503b8C6bf211a5c9dC22858D3B78EeF8C9,0.04729294776916504,0.0,0.06290221214294434,0.0,0.5033543109893799,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x5dac91c9f618B6043B7fad8582B46f8AFC6065D5,0x57CDF1b1A3c1E637E59284ffaca6FBA44Eb757bF,0.04495954513549805,0.0,0.07933259010314941,0.0,0.6093316078186035,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x02983523b9e7B2Cdd23bC8e904ab54d4ADe7A8DF,0x733dc09CBaCa5868b0ce238BDEce9Dd284DA672b,0.047495365142822266,0.0,0.06429052352905273,0.0,0.476792573928833,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0x4e3E410C315eA18F99A1618c0067a4398e60EA36,0xa5bcA6fC1563D8f117662514E4b5Ed15d46178bF,0.04668474197387695,0.0,0.06742501258850098,0.0,0.47066569328308105,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0x94E07A04685A7b7F51B34253752aE1efa063d324,0x7f989d423cE2957bf95769FE20881650A52aCdb0,0.0483248233795166,0.0,0.06354284286499023,0.0,0.4603116512298584,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x43Fb329696A878451fE626c2186e4EB641a13861,0xefcbf962f6c6E13017E169554313E1Ee49F5ac95,0.04553627967834473,0.0,0.06665253639221191,0.0,0.4528193473815918,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x3c8bc5aFBd5EdA67f73E41F90ad1EE7496B555e7,0xb65356C944D31E06a64BafBA31D0dcDC4Dc9a5Fd,0.045401573181152344,0.0,0.062387704849243164,0.0,0.4503180980682373,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x20F18a3eF660594526DECfCe059CDc9886bA14d9,0x77e2DB76504b04Ba71B0aFa87f2FF9a3A758cC35,0.04727339744567871,0.0,0.06459832191467285,0.0,0.49013471603393555,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0xa6e80EEC78B992d783777A344278136f1c554c06,0x6743CaC7Ea30e7a8389687ceCC1db67FAe43dC20,0.046012163162231445,0.0,0.06344985961914062,0.0,0.48895692825317383,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
10,patient,0x0d38268FE8e069513d7d7Bdc32C0c419EAb2b6f7,0x5542fAc8A4d2A6514101b058Bb211b4b25142272,0.04824233055114746,0.0,0.06473946571350098,0.0,0.48372673988342285,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
11,patient,0x2f8094bc77D3577025e848751Ce37E5a1B7faFA2,0xcDBb5822F5a9689a70B57Bb77Ff5bdFbb69f2e50,0.048674583435058594,0.0,0.06515622138977051,0.0,0.5243816375732422,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
