,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xE1DE76d5d96213549c81b9c3ff3BBDe3C7743304,0x49f33f1a4EB9Bdfd28995D36640f6EF8ad312D64,0.0502934455871582,0.0,0.06709122657775879,0.0,0.49834132194519043,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x161f2C8167bBce9B69b012036845A7B58191c5E5,0xB39196E091362e5Ad1077494Cbf887220d01f916,0.04751133918762207,0.0,0.06678199768066406,0.0,0.4801785945892334,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x9cAFC4d72b878fEFd9Be8B2796020Ca22d54c200,0xa38594031A9020dA541Fa2ec3fb0B2607E8f15d3,0.0475006103515625,0.0,0.0683436393737793,0.0,0.48345518112182617,44692.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x12182bE9E3c9EC7912F35Ed843f8B4175f14130F,0xbf333aB606465Fd3C33867419888FEaF868E210e,0.045578956604003906,0.0,0.06461095809936523,0.0,0.4681711196899414,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
4,patient,0xbeA3B702c173aD3C77FB193569014d3dF8c8bfc3,0x07099B9DCB2641EE32110c1fF1014cD6B1E8Ed36,0.04684019088745117,0.0,0.06518840789794922,0.0,0.47525763511657715,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0x044a1d790Ac2E7c13d624c315f26A12Df1453262,0x7DcdE0C38937720EF0b402B407AA8cbc317610ec,0.04659843444824219,0.0,0.10672259330749512,0.0,0.5065960884094238,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xb814570aA858242904E606a6F120F13EeF90432c,0x5e5AB5c6565518B659dbc341a16E92226db02D42,0.045862674713134766,0.0,0.06599211692810059,0.0,0.5484311580657959,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x2DCe6F4D5D8e2D237CBaEe9e40a6Fc08510BB63b,0xcee3038e87fB4A13798d97f1c9EcBA8A9e30Fb1b,0.04764199256896973,0.0,0.09755611419677734,0.0,0.5170762538909912,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x143E6187a902056e4046651258b834E2578Bb86F,0xF5d4e20db8dd5A455E97B1A4299bD5A2F80870C8,0.04700493812561035,0.0,0.06564450263977051,0.0,0.6088838577270508,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x0aa87d0f2435d82705d596B33C3C63ccCa721883,0x5C69ec4cb2637d122473f26dEDa1b186E2667b0e,0.04629182815551758,0.0,0.06422996520996094,0.0,0.6636202335357666,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
